"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|NO5","Without sequence","28.78","",""
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|NO5","Without sequence","28.82","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|NO5","Without sequence","29.26","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|NO5","Without sequence","29.66","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|NO5","Without sequence","29.92","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|NO5","Without sequence","30.36","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|NO5","Without sequence","30.39","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|NO5","Without sequence","30.24","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|NO5","Without sequence","30.19","",""
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|NO5","Without sequence","30.4","",""
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|NO5","Without sequence","30.48","",""
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|NO5","Without sequence","30.44","",""
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|NO5","Without sequence","30.16","",""
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|NO5","Without sequence","29.75","",""
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|NO5","Without sequence","28.98","",""
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|NO5","Without sequence","28.26","",""
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|NO5","Without sequence","28.17","",""
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|NO5","Without sequence","28.36","",""
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|NO5","Without sequence","28.67","",""
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|NO5","Without sequence","28.66","",""
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|NO5","Without sequence","28.61","",""
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|NO5","Without sequence","27.94","",""
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|NO5","Without sequence","27.57","",""
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|NO5","Without sequence","27.47","",""
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|NO5","Without sequence","27.76","",""
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|NO5","Without sequence","28.09","",""
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|NO5","Without sequence","28.57","",""
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|NO5","Without sequence","28.71","",""
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|NO5","Without sequence","28.82","",""
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|NO5","Without sequence","28.84","",""
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|NO5","Without sequence","28.79","",""
