"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|NO5","Without sequence","119.32","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|NO5","Without sequence","108.83","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|NO5","Without sequence","102.39","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|NO5","Without sequence","92.36","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|NO5","Without sequence","82.66","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|NO5","Without sequence","80.58","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|NO5","Without sequence","77.65","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|NO5","Without sequence","66.27","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|NO5","Without sequence","80.89","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|NO5","Without sequence","93.73","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|NO5","Without sequence","106.05","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|NO5","Without sequence","116.28","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|NO5","Without sequence","120.02","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|NO5","Without sequence","122.17","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|NO5","Without sequence","120.11","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|NO5","Without sequence","120.71","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|NO5","Without sequence","121.98","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|NO5","Without sequence","122.16","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|NO5","Without sequence","121.77","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|NO5","Without sequence","121.01","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|NO5","Without sequence","120.4","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|NO5","Without sequence","119.6","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|NO5","Without sequence","116.24","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|NO5","Without sequence","115.45","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|NO5","Without sequence","119.96","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|NO5","Without sequence","119.19","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|NO5","Without sequence","118.18","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|NO5","Without sequence","118.11","",""
