"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|NO5","Without sequence","24.95","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|NO5","Without sequence","24.35","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|NO5","Without sequence","23.98","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|NO5","Without sequence","23.72","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|NO5","Without sequence","23.73","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|NO5","Without sequence","24.06","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|NO5","Without sequence","24.44","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|NO5","Without sequence","24.93","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|NO5","Without sequence","24.9","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|NO5","Without sequence","25.07","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|NO5","Without sequence","25.63","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|NO5","Without sequence","25.92","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|NO5","Without sequence","26.13","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|NO5","Without sequence","26.57","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|NO5","Without sequence","27.3","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|NO5","Without sequence","28.61","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|NO5","Without sequence","29.35","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|NO5","Without sequence","29.3","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|NO5","Without sequence","28.82","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|NO5","Without sequence","28.25","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|NO5","Without sequence","27.32","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|NO5","Without sequence","26.98","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|NO5","Without sequence","26.44","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|NO5","Without sequence","25.64","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|NO5","Without sequence","25.59","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|NO5","Without sequence","24.91","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|NO5","Without sequence","24.74","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|NO5","Without sequence","24.66","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|NO5","Without sequence","24.72","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|NO5","Without sequence","24.92","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|NO5","Without sequence","25.62","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|NO5","Without sequence","26.19","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|NO5","Without sequence","26.7","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|NO5","Without sequence","26.89","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|NO5","Without sequence","27.7","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|NO5","Without sequence","28.09","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|NO5","Without sequence","27.84","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|NO5","Without sequence","27.84","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|NO5","Without sequence","27.91","",""
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|NO5","Without sequence","28.08","",""
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|NO5","Without sequence","28.85","",""
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|NO5","Without sequence","28.93","",""
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|NO5","Without sequence","28.53","",""
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|NO5","Without sequence","28.51","",""
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|NO5","Without sequence","27.38","",""
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|NO5","Without sequence","26.96","",""
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|NO5","Without sequence","26.85","",""
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|NO5","Without sequence","25.94","",""
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|NO5","Without sequence","25.27","",""
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|NO5","Without sequence","24.59","",""
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|NO5","Without sequence","23.86","",""
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|NO5","Without sequence","23.57","",""
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|NO5","Without sequence","23.49","",""
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|NO5","Without sequence","23.85","",""
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|NO5","Without sequence","24.05","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|NO5","Without sequence","24.8","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|NO5","Without sequence","24.97","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|NO5","Without sequence","25.65","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|NO5","Without sequence","26.0","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|NO5","Without sequence","26.07","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|NO5","Without sequence","25.87","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|NO5","Without sequence","25.83","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|NO5","Without sequence","26.02","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|NO5","Without sequence","26.5","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|NO5","Without sequence","28.05","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|NO5","Without sequence","28.53","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|NO5","Without sequence","28.17","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|NO5","Without sequence","27.92","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|NO5","Without sequence","27.56","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|NO5","Without sequence","27.04","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|NO5","Without sequence","26.18","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|NO5","Without sequence","24.92","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|NO5","Without sequence","24.66","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|NO5","Without sequence","24.05","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|NO5","Without sequence","23.88","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|NO5","Without sequence","24.03","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|NO5","Without sequence","24.58","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|NO5","Without sequence","25.84","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|NO5","Without sequence","28.21","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|NO5","Without sequence","30.85","",""
