"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|NO5","Without sequence","55.41","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|NO5","Without sequence","53.41","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|NO5","Without sequence","52.03","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|NO5","Without sequence","50.74","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|NO5","Without sequence","49.84","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|NO5","Without sequence","53.77","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|NO5","Without sequence","57.07","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|NO5","Without sequence","57.22","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|NO5","Without sequence","46.76","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|NO5","Without sequence","46.89","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|NO5","Without sequence","47.71","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|NO5","Without sequence","52.51","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|NO5","Without sequence","56.57","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|NO5","Without sequence","59.82","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|NO5","Without sequence","62.06","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|NO5","Without sequence","62.52","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|NO5","Without sequence","63.19","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|NO5","Without sequence","64.99","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|NO5","Without sequence","63.58","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|NO5","Without sequence","63.1","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|NO5","Without sequence","62.15","",""
