"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|NO5","Without sequence","132.89","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|NO5","Without sequence","129.3","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|NO5","Without sequence","132.08","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|NO5","Without sequence","111.44","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|NO5","Without sequence","112.35","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|NO5","Without sequence","113.9","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|NO5","Without sequence","122.25","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|NO5","Without sequence","118.58","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|NO5","Without sequence","118.47","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|NO5","Without sequence","117.86","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|NO5","Without sequence","120.03","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|NO5","Without sequence","117.07","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|NO5","Without sequence","117.17","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|NO5","Without sequence","120.08","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|NO5","Without sequence","124.54","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|NO5","Without sequence","124.89","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|NO5","Without sequence","135.59","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|NO5","Without sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|NO5","Without sequence","150.71","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|NO5","Without sequence","143.81","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|NO5","Without sequence","140.36","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|NO5","Without sequence","139.85","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|NO5","Without sequence","135.08","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|NO5","Without sequence","123.42","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|NO5","Without sequence","113.56","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|NO5","Without sequence","111.66","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|NO5","Without sequence","106.53","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|NO5","Without sequence","104.5","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|NO5","Without sequence","104.06","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|NO5","Without sequence","105.86","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|NO5","Without sequence","111.97","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|NO5","Without sequence","105.22","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|NO5","Without sequence","111.53","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|NO5","Without sequence","115.81","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|NO5","Without sequence","121.94","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|NO5","Without sequence","121.3","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|NO5","Without sequence","112.43","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|NO5","Without sequence","111.39","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|NO5","Without sequence","111.48","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|NO5","Without sequence","118.19","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|NO5","Without sequence","122.3","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|NO5","Without sequence","129.79","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|NO5","Without sequence","135.97","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|NO5","Without sequence","128.33","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|NO5","Without sequence","116.32","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|NO5","Without sequence","110.2","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|NO5","Without sequence","104.81","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|NO5","Without sequence","110.16","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|NO5","Without sequence","124.99","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|NO5","Without sequence","123.41","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|NO5","Without sequence","122.73","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|NO5","Without sequence","121.55","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|NO5","Without sequence","122.21","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|NO5","Without sequence","123.57","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|NO5","Without sequence","120.68","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|NO5","Without sequence","121.0","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|NO5","Without sequence","126.6","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|NO5","Without sequence","132.56","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|NO5","Without sequence","122.97","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|NO5","Without sequence","123.13","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|NO5","Without sequence","123.97","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|NO5","Without sequence","126.67","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|NO5","Without sequence","133.75","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|NO5","Without sequence","137.72","",""
