"Area","Year","Week","Stored Energy Value (MWh)"
"BZN|NO5","2023","1","1.0438274E7"
"BZN|NO5","2023","2"," "
"BZN|NO5","2024","1","1.0438274E7"
"BZN|NO5","2024","2","9601701.0"
"BZN|NO5","2024","3","8806883.0"
"BZN|NO5","2024","4","8480822.0"
"BZN|NO5","2024","5","8176749.0"
"BZN|NO5","2024","6","7531475.0"
"BZN|NO5","2024","7","6847370.0"
"BZN|NO5","2024","8","6255695.0"
"BZN|NO5","2024","9","5626574.0"
"BZN|NO5","2024","10","5023238.0"
"BZN|NO5","2024","11","4478296.0"
"BZN|NO5","2024","12","3905784.0"
"BZN|NO5","2024","13","N/A"
"BZN|NO5","2024","14","3018924.0"
"BZN|NO5","2024","15","3153601.0"
"BZN|NO5","2024","16","2897573.0"
"BZN|NO5","2024","17","2403022.0"
"BZN|NO5","2024","18","2641641.0"
"BZN|NO5","2024","19","3230503.0"
"BZN|NO5","2024","20","4633620.0"
"BZN|NO5","2024","21","6726567.0"
"BZN|NO5","2024","22","8778713.0"
"BZN|NO5","2024","23","9647201.0"
"BZN|NO5","2024","24","1.0117369E7"
"BZN|NO5","2024","25","1.0889103E7"
"BZN|NO5","2024","26","1.1775025E7"
"BZN|NO5","2024","27","1.2099151E7"
"BZN|NO5","2024","28","1.2665905E7"
"BZN|NO5","2024","29","1.3054276E7"
"BZN|NO5","2024","30","1.3521002E7"
"BZN|NO5","2024","31","1.3564968E7"
"BZN|NO5","2024","32","1.4170138E7"
"BZN|NO5","2024","33","1.4399682E7"
"BZN|NO5","2024","34","1.5066724E7"
"BZN|NO5","2024","35","1.5546821E7"
"BZN|NO5","2024","36","1.5540408E7"
"BZN|NO5","2024","37","1.5944042E7"
"BZN|NO5","2024","38","1.5752124E7"
"BZN|NO5","2024","39","1.5591132E7"
"BZN|NO5","2024","40","1.526864E7"
"BZN|NO5","2024","41","1.5126661E7"
"BZN|NO5","2024","42","1.5065876E7"
"BZN|NO5","2024","43","1.5779036E7"
"BZN|NO5","2024","44","1.633139E7"
"BZN|NO5","2024","45","1.5993598E7"
"BZN|NO5","2024","46","1.5678304E7"
"BZN|NO5","2024","47","1.5081569E7"
"BZN|NO5","2024","48","1.4809744E7"
"BZN|NO5","2024","49","1.4367803E7"
"BZN|NO5","2024","50","1.3687298E7"
"BZN|NO5","2024","51","1.3471585E7"
"BZN|NO5","2024","52","1.3362495E7"
"BZN|NO5","2024","53","1.2742949E7"
