"Area","Year","Week","Stored Energy Value (MWh)"
"BZN|NO5","2023","1","1.1620688E7"
"BZN|NO5","2023","2","1.1360378E7"
"BZN|NO5","2023","3","1.0646798E7"
"BZN|NO5","2023","4","1.002408E7"
"BZN|NO5","2023","5","9459748.0"
"BZN|NO5","2023","6","8861914.0"
"BZN|NO5","2023","7","8283028.0"
"BZN|NO5","2023","8","7752703.0"
"BZN|NO5","2023","9","7005841.0"
"BZN|NO5","2023","10","6197393.0"
"BZN|NO5","2023","11","5661643.0"
"BZN|NO5","2023","12","N/A"
"BZN|NO5","2023","13","4812060.0"
"BZN|NO5","2023","14","4300205.0"
"BZN|NO5","2023","15","3979538.0"
"BZN|NO5","2023","16","3782424.0"
"BZN|NO5","2023","17","3609328.0"
"BZN|NO5","2023","18","3430776.0"
"BZN|NO5","2023","19","3558264.0"
"BZN|NO5","2023","20","4008635.0"
"BZN|NO5","2023","21","5005674.0"
"BZN|NO5","2023","22","5794681.0"
"BZN|NO5","2023","23","7007741.0"
"BZN|NO5","2023","24","8507523.0"
"BZN|NO5","2023","25","9915422.0"
"BZN|NO5","2023","26","1.0960901E7"
"BZN|NO5","2023","27","1.1653054E7"
"BZN|NO5","2023","28","1.251375E7"
"BZN|NO5","2023","29","1.3238128E7"
"BZN|NO5","2023","30","1.3505714E7"
"BZN|NO5","2023","31","1.354416E7"
"BZN|NO5","2023","32","1.457879E7"
"BZN|NO5","2023","33","1.4877253E7"
"BZN|NO5","2023","34","1.5216842E7"
"BZN|NO5","2023","35","1.5347237E7"
"BZN|NO5","2023","36","1.5409258E7"
"BZN|NO5","2023","37","1.560212E7"
"BZN|NO5","2023","38","1.6041218E7"
"BZN|NO5","2023","39","1.6278591E7"
"BZN|NO5","2023","40","1.6284477E7"
"BZN|NO5","2023","41","1.6443743E7"
"BZN|NO5","2023","42","1.6200592E7"
"BZN|NO5","2023","43","1.5622512E7"
"BZN|NO5","2023","44","1.5261835E7"
"BZN|NO5","2023","45","1.4665805E7"
"BZN|NO5","2023","46","1.4058625E7"
"BZN|NO5","2023","47","1.3565583E7"
"BZN|NO5","2023","48","1.2749217E7"
"BZN|NO5","2023","49","1.2016892E7"
"BZN|NO5","2023","50","1.1593421E7"
"BZN|NO5","2023","51","1.1420436E7"
"BZN|NO5","2023","52","1.111492E7"
"BZN|NO5","2023","53"," "
