"Area","Year","Week","Stored Energy Value (MWh)"
"BZN|NO5","2021","1","1.2427E7"
"BZN|NO5","2021","2","1.1589E7"
"BZN|NO5","2021","3","1.0939E7"
"BZN|NO5","2021","4","1.0004E7"
"BZN|NO5","2021","5","9289000.0"
"BZN|NO5","2021","6","8421021.0"
"BZN|NO5","2021","7","7744098.0"
"BZN|NO5","2021","8","7425593.0"
"BZN|NO5","2021","9","6846774.0"
"BZN|NO5","2021","10","6311281.0"
"BZN|NO5","2021","11","5702933.0"
"BZN|NO5","2021","12","N/A"
"BZN|NO5","2021","13","5178739.0"
"BZN|NO5","2021","14","4842626.0"
"BZN|NO5","2021","15","4320127.0"
"BZN|NO5","2021","16","3987070.0"
"BZN|NO5","2021","17","3508283.0"
"BZN|NO5","2021","18","3203545.0"
"BZN|NO5","2021","19","3488039.0"
"BZN|NO5","2021","20","3995016.0"
"BZN|NO5","2021","21","4821520.0"
"BZN|NO5","2021","22","6139648.0"
"BZN|NO5","2021","23","7481579.0"
"BZN|NO5","2021","24","8674483.0"
"BZN|NO5","2021","25","9358414.0"
"BZN|NO5","2021","26","9777402.0"
"BZN|NO5","2021","27","1.0247931E7"
"BZN|NO5","2021","28","1.0434749E7"
"BZN|NO5","2021","29","1.0405496E7"
"BZN|NO5","2021","30","1.0734255E7"
"BZN|NO5","2021","31","1.0668628E7"
"BZN|NO5","2021","32","1.0618831E7"
"BZN|NO5","2021","33","1.0610691E7"
"BZN|NO5","2021","34","1.0457059E7"
"BZN|NO5","2021","35","1.0084646E7"
"BZN|NO5","2021","36","9898171.0"
"BZN|NO5","2021","37","9640594.0"
"BZN|NO5","2021","38","9743291.0"
"BZN|NO5","2021","39","1.0119081E7"
"BZN|NO5","2021","40","1.0558269E7"
"BZN|NO5","2021","41","1.0872155E7"
"BZN|NO5","2021","42","1.1126719E7"
"BZN|NO5","2021","43","1.1848757E7"
"BZN|NO5","2021","44","1.1839183E7"
"BZN|NO5","2021","45","1.1590639E7"
"BZN|NO5","2021","46","1.1555881E7"
"BZN|NO5","2021","47","1.1151909E7"
"BZN|NO5","2021","48","1.0482831E7"
"BZN|NO5","2021","49","9751508.0"
"BZN|NO5","2021","50","9480211.0"
"BZN|NO5","2021","51","8864417.0"
"BZN|NO5","2021","52","8631916.0"
"BZN|NO5","2021","53"," "
