"Area","Year","Week","Stored Energy Value (MWh)"
"BZN|NO5","2025","1","1.1926176E7"
"BZN|NO5","2025","2","1.1526812E7"
"BZN|NO5","2025","3","1.080737E7"
"BZN|NO5","2025","4","1.0018257E7"
"BZN|NO5","2025","5","9245869.0"
"BZN|NO5","2025","6","8351574.0"
"BZN|NO5","2025","7","7673620.0"
"BZN|NO5","2025","8","7150776.0"
"BZN|NO5","2025","9","7355718.0"
"BZN|NO5","2025","10","6722340.0"
"BZN|NO5","2025","11","6201802.0"
"BZN|NO5","2025","12","N/A"
"BZN|NO5","2025","13","5447827.0"
"BZN|NO5","2025","14","5200717.0"
"BZN|NO5","2025","15","5282911.0"
"BZN|NO5","2025","16","5182335.0"
"BZN|NO5","2025","17","-"
"BZN|NO5","2025","18","-"
"BZN|NO5","2025","19","-"
"BZN|NO5","2025","20","-"
"BZN|NO5","2025","21","-"
"BZN|NO5","2025","22","-"
"BZN|NO5","2025","23","-"
"BZN|NO5","2025","24","-"
"BZN|NO5","2025","25","-"
"BZN|NO5","2025","26","-"
"BZN|NO5","2025","27","-"
"BZN|NO5","2025","28","-"
"BZN|NO5","2025","29","-"
"BZN|NO5","2025","30","-"
"BZN|NO5","2025","31","-"
"BZN|NO5","2025","32","-"
"BZN|NO5","2025","33","-"
"BZN|NO5","2025","34","-"
"BZN|NO5","2025","35","-"
"BZN|NO5","2025","36","-"
"BZN|NO5","2025","37","-"
"BZN|NO5","2025","38","-"
"BZN|NO5","2025","39","-"
"BZN|NO5","2025","40","-"
"BZN|NO5","2025","41","-"
"BZN|NO5","2025","42","-"
"BZN|NO5","2025","43","-"
"BZN|NO5","2025","44","-"
"BZN|NO5","2025","45","-"
"BZN|NO5","2025","46","-"
"BZN|NO5","2025","47","-"
"BZN|NO5","2025","48","-"
"BZN|NO5","2025","49","-"
"BZN|NO5","2025","50","-"
"BZN|NO5","2025","51","-"
"BZN|NO5","2025","52","-"
"BZN|NO5","2025","53"," "
