"Area","Year","Week","Stored Energy Value (MWh)"
"BZN|NO5","2022","1","8130917.0"
"BZN|NO5","2022","2","7834726.0"
"BZN|NO5","2022","3","7445563.0"
"BZN|NO5","2022","4","7172051.0"
"BZN|NO5","2022","5","6748563.0"
"BZN|NO5","2022","6","6368820.0"
"BZN|NO5","2022","7","5979667.0"
"BZN|NO5","2022","8","5373032.0"
"BZN|NO5","2022","9","4719615.0"
"BZN|NO5","2022","10","4200460.0"
"BZN|NO5","2022","11","3709118.0"
"BZN|NO5","2022","12","N/A"
"BZN|NO5","2022","13","2785155.0"
"BZN|NO5","2022","14","2477712.0"
"BZN|NO5","2022","15","2061322.0"
"BZN|NO5","2022","16","1942936.0"
"BZN|NO5","2022","17","1688611.0"
"BZN|NO5","2022","18","1624537.0"
"BZN|NO5","2022","19","1952616.0"
"BZN|NO5","2022","20","2302226.0"
"BZN|NO5","2022","21","3405141.0"
"BZN|NO5","2022","22","4038100.0"
"BZN|NO5","2022","23","5395090.0"
"BZN|NO5","2022","24","6735089.0"
"BZN|NO5","2022","25","8018923.0"
"BZN|NO5","2022","26","9428249.0"
"BZN|NO5","2022","27","1.0162E7"
"BZN|NO5","2022","28","1.0628088E7"
"BZN|NO5","2022","29","1.1109433E7"
"BZN|NO5","2022","30","1.1592699E7"
"BZN|NO5","2022","31","1.2068215E7"
"BZN|NO5","2022","32","1.2154249E7"
"BZN|NO5","2022","33","1.2257612E7"
"BZN|NO5","2022","34","1.2265837E7"
"BZN|NO5","2022","35","1.2170229E7"
"BZN|NO5","2022","36","1.2023086E7"
"BZN|NO5","2022","37","1.2248623E7"
"BZN|NO5","2022","38","1.2231292E7"
"BZN|NO5","2022","39","1.2605383E7"
"BZN|NO5","2022","40","1.3471035E7"
"BZN|NO5","2022","41","1.3690313E7"
"BZN|NO5","2022","42","1.3634613E7"
"BZN|NO5","2022","43","1.40166E7"
"BZN|NO5","2022","44","1.4440213E7"
"BZN|NO5","2022","45","1.5431832E7"
"BZN|NO5","2022","46","1.5137592E7"
"BZN|NO5","2022","47","1.4668123E7"
"BZN|NO5","2022","48","1.4109842E7"
"BZN|NO5","2022","49","1.3361399E7"
"BZN|NO5","2022","50","1.2519513E7"
"BZN|NO5","2022","51","1.2168425E7"
"BZN|NO5","2022","52","1.2014136E7"
"BZN|NO5","2022","53"," "
